N_PER_SIDE,N_PART,calctime
3,9,0.09874749183654785
4,16,0.2806684970855713
5,25,0.6396222114562988
6,36,1.105510950088501
7,49,1.898949146270752
8,64,3.180208921432495
9,81,4.985933065414429
10,100,7.186544895172119
11,121,10.211745262145996
12,144,14.108715534210205
13,169,19.519681930541992
