               Convergence Check               
IT         Rel. DE       Rel. DP       Rel. DT  
-----------------------------------------------
1        8.7080E-03    1.7103E-02    1.2717E-03
2        2.2283E-03    4.3359E-03    5.5022E-04
3        6.1661E-04    8.4191E-04    1.0746E-04
4        1.1622E-03    2.3270E-03    5.8179E-05
5        8.6431E-04    3.2315E-03    3.7113E-05
6        6.6808E-04    2.8933E-03    8.2775E-05
7        8.9238E-05    3.5088E-03    1.4686E-04
8        0.0000E+00    0.0000E+00    0.0000E+00
9        5.2314E-04    7.9219E-04    4.2482E-05
10       7.4083E-04    8.1685E-04    7.0788E-06
11       7.8574E-04    6.8043E-04    2.5188E-05
12       9.1527E-04    1.2804E-03    2.4030E-05
13       7.9546E-04    1.8068E-03    1.8356E-05
14       7.0283E-04    2.1613E-03    1.7795E-05
15       6.1109E-04    2.2299E-03    1.5956E-05
16       5.2575E-04    1.3756E-03    2.9665E-05
17       6.9211E-04    4.3127E-04    8.7630E-05
18       1.1455E-03    5.8537E-04    2.8935E-05
19       1.6937E-03    1.2171E-03    8.1664E-06
20       9.5949E-04    1.6596E-03    1.8614E-05
21       1.0656E-03    1.2150E-03    3.4495E-05
22       8.8479E-04    2.3201E-04    9.1589E-05
23       4.0616E-04    1.3693E-03    7.3454E-05
24       2.3927E-05    1.0158E-03    1.3210E-05
25       9.9680E-05    2.4465E-04    6.2143E-05
26       4.1524E-04    8.2337E-04    1.2333E-05
27       5.0187E-04    2.1176E-03    7.6530E-05
28       8.8872E-04    1.1125E-03    8.5012E-05
29       4.4743E-04    7.6881E-04    2.0908E-05
30       3.4626E-04    1.1180E-03    2.3191E-05
31       4.6045E-04    7.6967E-04    3.1030E-05
32       2.9877E-04    1.3123E-03    4.1956E-05
33       5.3611E-04    1.9718E-03    6.5727E-05
34       8.6669E-04    4.5270E-04    1.3317E-04
35       1.7652E-04    1.8818E-03    4.8831E-05
36       7.9910E-05    2.3754E-03    4.1665E-06
37       9.9329E-05    2.0506E-03    3.4598E-05
38       8.4669E-05    1.8773E-03    1.3473E-05
39       1.5510E-04    2.2331E-03    2.7347E-05
40       1.3060E-05    2.2652E-03    1.0730E-05
41       4.2955E-05    1.9739E-03    4.0243E-06
42       6.4622E-05    1.1156E-03    1.6838E-05
43       1.8466E-05    6.7402E-04    7.0810E-05
44       4.1169E-04    2.7732E-03    9.5490E-05
45       8.9551E-04    2.3933E-03    6.3654E-05
46       5.7007E-04    2.6568E-03    1.4396E-05
47       6.5060E-04    2.1769E-03    3.4117E-05
48       4.6592E-04    1.5895E-03    3.5324E-05
49       2.8684E-04    2.2030E-03    5.7893E-05
50       6.0094E-04    2.2458E-03    2.7825E-05
51       7.4233E-04    1.1114E-04    1.0630E-04
52       1.8474E-04    1.1788E-03    4.0514E-05
