               Convergence Check               
IT         Rel. DE       Rel. DP       Rel. DT  
-----------------------------------------------
1        1.6321E-03    4.3064E-02    3.8919E-03
2        8.7635E-04    1.2125E-02    1.7181E-03
3        5.4597E-04    2.5262E-03    4.1122E-04
4        4.6746E-04    1.0192E-03    9.2311E-05
5        4.4980E-04    2.8414E-03    2.1898E-05
6        4.4579E-04    3.2589E-03    4.7780E-05
7        9.2092E-04    6.8630E-03    3.7440E-05
8        0.0000E+00    0.0000E+00    0.0000E+00
9        4.6239E-04    3.7741E-03    7.3973E-07
10       4.6241E-04    3.3038E-03    1.9366E-05
11       4.6618E-04    2.8815E-03    3.4496E-07
12       4.6634E-04    2.5506E-03    1.3900E-05
13       4.6374E-04    2.2555E-03    2.1396E-05
14       4.5977E-04    1.7646E-03    1.0211E-05
15       4.5792E-04    1.2020E-03    8.3042E-06
16       4.5639E-04    6.8628E-04    1.2144E-05
17       4.5417E-04    1.0521E-04    3.6025E-06
18       4.5360E-04    4.0094E-04    2.2439E-06
19       9.0417E-04    1.4539E-03    8.8231E-06
20       4.5177E-04    1.0956E-03    1.7060E-05
21       4.5513E-04    8.7718E-04    1.3354E-06
22       4.5500E-04    3.4102E-05    3.2443E-05
23       4.4887E-04    1.2938E-03    6.1827E-05
24       4.3721E-04    2.3594E-03    4.4536E-05
25       4.2890E-04    2.7802E-03    1.0049E-05
26       4.2712E-04    2.7936E-03    4.9379E-06
27       4.2814E-04    2.6349E-03    4.4819E-06
28       4.2911E-04    2.2961E-03    8.4757E-06
29       4.3083E-04    2.0004E-03    3.3227E-06
30       4.3023E-04    1.8448E-03    2.0806E-05
31       4.2641E-04    1.3266E-03    1.4645E-07
32       4.2647E-04    4.1844E-04    2.0211E-05
33       4.3043E-04    7.6702E-04    3.9539E-05
34       4.3807E-04    1.6240E-03    2.5667E-05
35       4.4299E-04    1.3156E-03    3.6363E-05
36       4.3619E-04    8.1450E-05    7.8163E-05
37       4.2151E-04    1.3181E-03    7.8378E-05
38       4.0681E-04    2.1973E-03    4.7069E-05
39       3.9804E-04    2.2105E-03    2.9632E-06
40       3.9764E-04    1.4682E-03    3.4076E-05
41       4.0423E-04    5.9330E-04    3.6496E-05
42       4.1121E-04    3.4727E-04    3.7905E-06
43       4.1056E-04    8.2712E-04    4.3833E-05
44       4.0238E-04    1.4420E-03    4.6965E-05
45       3.9366E-04    1.6472E-03    2.1726E-05
46       3.8969E-04    1.3441E-03    3.6915E-06
47       3.9051E-04    6.8293E-04    2.0200E-05
48       3.9445E-04    4.4502E-05    1.7885E-05
49       3.9794E-04    5.9189E-05    1.5095E-05
50       3.9510E-04    4.7677E-04    5.2925E-05
51       3.8524E-04    6.1502E-04    2.1156E-05
52       3.8147E-04    7.6817E-05    3.5949E-05
53       3.8838E-04    8.7706E-04    4.5149E-05
54       3.9699E-04    1.0620E-03    1.1872E-05
55       3.9931E-04    3.7236E-04    3.9284E-05
56       3.9198E-04    7.1193E-04    6.3617E-05
57       3.8021E-04    1.2487E-03    2.9065E-05
58       3.7492E-04    1.2552E-03    2.4875E-06
59       3.7458E-04    1.0823E-03    2.6021E-06
60       3.7522E-04    9.3164E-04    9.0864E-07
61       3.7514E-04    1.1539E-03    2.7444E-05
