               Convergence Check               
IT         Rel. DE       Rel. DP       Rel. DT  
122      2.8229E-06    1.3514E-02    1.2204E-04
123      7.1751E-06    1.0704E-02    1.8863E-04
124      1.0645E-05    7.3520E-03    2.5260E-04
125      4.6769E-06    7.6036E-03    1.5457E-04
126      4.6402E-06    7.4443E-03    4.8341E-05
127      9.2406E-06    1.2812E-03    1.7398E-04
128      4.4933E-06    3.5005E-03    2.5593E-04
129      4.8597E-06    6.4165E-03    3.1386E-04
130      1.1218E-05    4.4732E-03    2.4104E-04
131      4.9471E-07    3.7484E-03    4.2202E-05
132      3.2617E-07    8.4835E-03    1.8557E-04
133      6.8630E-06    7.1412E-03    1.1865E-04
134      9.3696E-06    3.6711E-03    7.1914E-06
135      1.1060E-05    2.0308E-03    5.9414E-05
136      8.7557E-06    1.7223E-03    5.1730E-05
137      4.6622E-06    4.9125E-03    3.0770E-04
138      2.6108E-06    9.5286E-03    4.9469E-04
139      4.7753E-06    9.3809E-03    5.2094E-04
140      1.5863E-05    6.7532E-03    4.7628E-04
141      5.5610E-06    2.6274E-03    1.4422E-04
142      6.4968E-07    6.6265E-03    3.6758E-05
143      9.1885E-06    2.5331E-03    1.6083E-05
144      5.9790E-06    9.2133E-03    3.2953E-04
145      2.8060E-06    1.7457E-02    5.2775E-04
146      1.7367E-05    1.7082E-02    4.8623E-04
147      1.4397E-05    4.1313E-03    5.1848E-05
148      1.0987E-05    3.1008E-03    1.2418E-04
149      2.1448E-07    1.1032E-03    1.8688E-07
150      1.0497E-05    5.8612E-03    2.6149E-04
151      2.8368E-06    1.8000E-02    7.1628E-04
152      7.7633E-06    2.3021E-02    9.5563E-04
153      1.1075E-05    1.3573E-02    7.2951E-04
154      1.6660E-05    6.7086E-03    1.3456E-04
155      4.0925E-06    1.2948E-02    4.2219E-06
156      1.3777E-05    1.3327E-02    1.1537E-05
157      6.3848E-07    1.3696E-02    1.1750E-04
158      6.9197E-06    8.9068E-03    8.9628E-05
159      1.2172E-06    5.0071E-03    1.2644E-04
160      6.7472E-06    1.2116E-04    1.3760E-04
161      4.6473E-06    1.0629E-02    6.7128E-05
162      6.8493E-06    1.8765E-02    2.1807E-04
163      1.8605E-06    1.8743E-02    1.0844E-04
164      1.5810E-06    1.4998E-02    9.7567E-05
165      2.7888E-06    1.2701E-02    2.2130E-04
166      3.4595E-06    1.1519E-02    2.8705E-04
167      2.4218E-06    8.9993E-03    3.8488E-04
168      7.5287E-06    6.1687E-03    4.8059E-04
169      1.6601E-05    1.0336E-02    3.2197E-04
170      1.9231E-05    1.9764E-02    4.1909E-05
171      1.2273E-05    1.5825E-02    1.2367E-05
172      1.0209E-05    1.0433E-02    5.8143E-05
173      2.2557E-06    9.5427E-04    2.3092E-04
174      8.2670E-07    2.6001E-03    2.5216E-04
175      7.8337E-06    7.9865E-04    1.0573E-04
176      2.5855E-06    4.1959E-03    1.3479E-05
-----------------------------------------------
        Converged at the time 1.76 a.u.        
-----------------------------------------------
Warmup stage ended according to set thresholds:
    Rel. DE         Rel. DP        Rel. DT     
    1.2E-05         5.0E-03        1.0E-04     
-----------------------------------------------
Averaged values after this time:
System energy      E_tot :             -13.5664
System pressure    P     :               0.0521
System temperature T     :           7.0410E-01
