               Convergence Check               
IT         Rel. DE       Rel. DP       Rel. DT  
-----------------------------------------------
1        2.4024E-03    3.7311E-03    1.3843E-03
2        3.7560E-03    2.3382E-03    3.8939E-06
3        3.7575E-03    2.4219E-03    1.0566E-05
4        3.7291E-03    2.5266E-03    1.7612E-05
5        3.6685E-03    2.6606E-03    2.5685E-05
6        3.5706E-03    2.8182E-03    3.4843E-05
7        6.6632E-03    5.9348E-03    9.1241E-05
8        0.0000E+00    0.0000E+00    0.0000E+00
9        3.0424E-03    2.5126E-03    3.0789E-05
10       2.9168E-03    1.6962E-03    1.6716E-05
11       2.8487E-03    1.4374E-03    5.8339E-05
12       2.5920E-03    9.5287E-04    4.3161E-05
13       2.4036E-03    2.3551E-04    3.4719E-05
14       2.2444E-03    4.6700E-04    4.0281E-05
15       2.0700E-03    2.3475E-03    4.7710E-05
16       2.3012E-03    3.1684E-03    2.7744E-06
17       2.2894E-03    1.9834E-03    1.0120E-04
18       1.8289E-03    9.8622E-04    6.1624E-05
19       2.8139E-03    1.0364E-04    6.4448E-05
20       1.2486E-03    4.8335E-04    3.1142E-05
21       1.1037E-03    5.3556E-04    1.5606E-05
22       1.0323E-03    4.7479E-04    4.4511E-05
23       1.2472E-03    2.0030E-03    7.5283E-05
24       1.6033E-03    2.3845E-03    1.2401E-05
25       1.6647E-03    1.7188E-03    3.4035E-05
26       1.5098E-03    8.9023E-04    2.8496E-05
27       1.3775E-03    2.3865E-04    4.3981E-05
28       1.1719E-03    9.2280E-04    2.4271E-05
29       1.0559E-03    4.9922E-04    2.5692E-05
30       1.1835E-03    1.4259E-03    1.0829E-04
31       1.7048E-03    2.3531E-03    4.8084E-05
32       1.9281E-03    1.2063E-03    6.4245E-05
33       1.6351E-03    1.2565E-03    3.5830E-05
34       1.8118E-03    5.5429E-04    1.0826E-05
35       1.7622E-03    1.2200E-03    7.4219E-05
36       1.4117E-03    2.1781E-03    2.9502E-05
37       1.2760E-03    2.0246E-03    2.0964E-05
38       1.3804E-03    1.8673E-03    2.8037E-06
39       1.3940E-03    2.1176E-03    3.3404E-05
40       1.2359E-03    1.7547E-03    3.1914E-06
41       1.2253E-03    1.0132E-03    9.6219E-06
42       1.2728E-03    7.7596E-04    2.8212E-05
43       1.1379E-03    7.2614E-04    3.9152E-05
44       9.4950E-04    3.7239E-04    2.3034E-05
45       8.4025E-04    4.7696E-04    2.2356E-06
46       8.5080E-04    1.1681E-03    1.1691E-05
47       7.9391E-04    1.7546E-03    1.0781E-05
48       7.4087E-04    2.4420E-03    5.9302E-06
49       7.7728E-04    2.8919E-03    1.5124E-06
50       7.7484E-04    2.0658E-03    7.1909E-05
51       4.3093E-04    2.6517E-03    3.3055E-05
52       5.9559E-04    3.1937E-03    3.1516E-05
53       7.4345E-04    2.4123E-03    4.1254E-05
54       5.4681E-04    1.8765E-03    8.1200E-06
55       5.0557E-04    1.4606E-03    2.9494E-06
56       5.2601E-04    1.5210E-03    3.2815E-05
57       6.8159E-04    5.6116E-04    3.7381E-05
58       4.9955E-04    5.4150E-05    1.7137E-05
