               Convergence Check               
IT         Rel. DE       Rel. DP       Rel. DT  
-----------------------------------------------
1        1.9783E-02    2.4826E-02    3.0309E-03
2        4.2563E-03    6.6429E-03    7.1622E-04
3        5.0008E-04    3.0646E-03    8.7948E-05
4        9.6860E-04    1.2652E-03    8.8317E-05
5        1.4383E-03    1.5618E-03    3.3320E-05
6        1.2677E-03    4.1384E-03    5.5113E-05
7        2.5356E-03    6.6327E-03    2.1272E-04
8        0.0000E+00    0.0000E+00    0.0000E+00
9        2.1274E-03    3.2777E-03    1.5343E-05
10       2.0458E-03    4.0836E-03    5.7137E-05
11       1.7404E-03    2.5866E-03    7.9822E-05
12       2.2038E-03    1.2230E-03    2.2405E-04
13       3.3878E-03    3.1978E-04    1.0964E-04
14       2.8236E-03    1.3173E-03    1.2533E-04
15       2.1572E-03    2.1479E-03    7.5102E-05
16       1.7620E-03    1.7058E-03    3.2238E-06
17       1.7437E-03    1.4242E-03    3.8290E-05
18       1.5445E-03    1.8713E-04    2.6270E-05
19       3.1546E-03    1.0400E-03    1.2036E-04
20       1.0399E-03    1.0781E-03    2.1024E-05
21       9.3052E-04    4.9270E-04    2.4832E-05
22       1.0667E-03    8.1602E-05    1.9019E-06
23       1.0741E-03    3.8854E-04    5.4705E-07
24       1.0817E-03    1.8378E-03    7.2378E-05
25       1.4899E-03    2.8195E-03    4.9315E-05
26       1.7548E-03    1.2869E-03    1.0155E-04
27       1.1987E-03    1.7682E-04    4.4666E-05
28       9.5147E-04    8.8494E-04    8.0137E-05
29       1.4079E-03    2.4880E-03    1.4608E-04
30       2.2096E-03    1.3250E-03    3.8710E-05
31       2.0115E-03    1.0672E-04    3.3035E-05
32       1.8300E-03    1.3551E-03    3.4978E-05
33       1.6356E-03    1.0291E-03    4.1653E-05
34       1.8721E-03    4.6792E-04    9.0786E-05
35       2.4122E-03    1.5156E-03    6.4317E-05
36       2.7649E-03    1.0256E-03    1.5733E-04
37       1.8933E-03    2.9786E-03    9.4162E-05
38       1.3779E-03    2.2038E-03    6.9515E-05
39       1.7688E-03    1.5334E-03    2.4393E-05
40       1.9167E-03    6.0750E-04    3.5563E-05
41       2.1248E-03    4.4569E-04    2.0722E-05
42       2.0123E-03    1.0829E-03    7.1181E-05
43       1.6182E-03    1.5835E-03    5.7689E-05
44       1.2873E-03    2.3872E-03    8.8142E-05
45       7.9020E-04    1.3191E-03    3.2566E-05
46       9.7834E-04    2.6292E-04    4.5389E-05
47       1.2274E-03    1.8135E-03    4.1521E-05
48       1.4913E-03    4.3016E-03    1.3499E-04
49       2.2503E-03    2.8944E-03    1.2111E-04
50       1.5599E-03    1.3269E-03    9.2329E-05
51       1.0389E-03    9.7563E-04    2.3939E-06
52       1.0555E-03    1.7362E-04    3.0982E-05
53       8.7967E-04    5.7652E-04    4.0260E-05
54       6.3656E-04    1.9869E-04    1.6208E-05
55       7.6292E-04    1.8990E-03    1.2426E-04
56       1.4476E-03    8.1439E-04    2.2994E-04
57       1.1799E-04    1.7564E-03    8.5780E-05
58       3.5794E-04    1.4340E-03    2.0283E-04
59       7.9489E-04    1.2776E-03    4.6910E-05
60       5.2139E-04    4.3639E-04    1.3669E-04
61       2.7041E-04    4.4260E-05    1.9972E-05
62       1.5417E-04    1.6347E-04    8.6059E-06
63       2.0965E-04    4.8764E-04    8.2319E-05
64       6.9464E-04    3.2288E-04    1.3042E-05
65       6.1580E-04    2.6430E-03    1.0925E-04
66       1.0957E-05    3.3984E-03    1.3003E-05
67       7.1967E-05    2.1728E-03    8.2731E-05
68       4.0357E-04    1.4568E-03    1.2748E-05
69       4.9056E-04    1.5097E-03    4.6571E-05
70       2.2293E-04    3.6630E-03    1.9552E-04
71       9.1948E-04    6.1655E-03    2.3060E-04
72       2.2473E-03    3.7618E-03    8.8388E-05
73       1.7325E-03    8.9264E-04    2.1778E-04
74       4.8551E-04    1.8869E-03    1.8750E-05
75       5.8540E-04    1.1303E-03    8.3970E-05
76       1.0870E-03    1.2809E-03    1.8524E-04
77       2.1606E-03    5.3042E-04    2.4329E-05
78       2.0203E-03    2.4713E-03    1.5761E-04
79       1.1125E-03    3.2747E-03    1.0577E-05
80       1.0518E-03    2.1651E-03    8.8001E-05
81       1.5866E-03    1.1455E-03    6.5346E-05
82       1.9443E-03    2.9911E-03    1.4979E-04
83       1.0737E-03    6.3443E-04    1.4800E-04
84       1.9738E-03    2.3843E-03    1.7992E-04
85       3.0273E-03    9.1178E-04    2.3653E-04
86       1.6438E-03    4.1776E-03    1.8822E-04
87       5.3582E-04    4.9011E-03    3.7904E-05
88       3.1779E-04    4.0444E-03    2.4551E-05
89       4.5143E-04    3.7204E-03    5.4491E-05
90       1.1739E-04    2.6562E-03    3.1877E-05
91       7.6670E-05    1.4880E-03    1.6504E-04
92       9.0916E-04    6.5118E-03    2.2691E-04
93       2.2615E-03    7.3390E-03    2.8516E-05
94       2.0835E-03    4.2587E-03    2.2651E-04
95       7.4629E-04    2.8335E-03    4.4423E-05
96       4.9386E-04    1.8265E-03    8.7870E-07
97       4.7513E-04    1.3347E-03    1.4944E-04
98       4.1224E-04    3.2245E-03    6.1022E-05
99       7.8020E-04    4.5405E-03    4.6924E-05
100      1.0741E-03    5.5524E-03    6.0620E-05
101      1.4413E-03    4.3383E-03    5.1883E-05
102      1.1332E-03    1.3149E-03    1.4609E-04
103      2.7751E-04    1.0406E-03    1.0466E-04
104      3.4690E-04    2.0752E-03    6.2225E-05
105      7.0504E-04    4.3696E-04    7.2722E-05
106      2.6164E-04    1.0635E-03    2.8350E-05
107      1.1712E-04    7.3689E-04    1.0008E-04
108      6.7873E-04    3.2856E-03    1.4117E-04
109      1.5149E-04    3.6932E-03    8.5100E-06
110      2.1978E-04    2.1005E-03    8.6987E-05
111      3.0450E-04    1.8540E-03    2.3908E-04
112      1.7331E-03    4.4643E-03    1.6523E-04
113      2.7094E-03    1.8087E-03    1.4362E-04
114      1.8691E-03    2.0616E-03    1.8722E-04
115      7.5330E-04    3.2645E-03    3.0906E-05
116      5.8388E-04    2.0622E-03    8.2337E-05
117      1.0621E-03    2.0504E-03    5.0886E-05
118      7.4249E-04    8.0595E-05    6.7582E-05
119      1.1816E-03    4.9066E-03    2.7765E-04
120      2.8435E-03    5.0264E-03    4.1160E-05
121      2.6110E-03    7.4580E-04    2.6533E-04
122      1.0024E-03    3.7073E-03    2.5440E-04
