               Convergence Check               
IT         Rel. DE       Rel. DP       Rel. DT  
122      3.6272E-07    1.3719E-02    1.1955E-04
123      7.6621E-06    1.1798E-02    1.6544E-04
124      5.5082E-06    8.4378E-03    2.3478E-04
125      1.4312E-05    6.8575E-03    2.1763E-04
126      6.9719E-06    8.3536E-03    5.2145E-05
127      4.9374E-06    3.5419E-03    1.2389E-04
128      8.8455E-06    2.3109E-03    2.4270E-04
129      1.9446E-06    5.4684E-03    2.8824E-04
130      1.5820E-05    6.2379E-03    3.0584E-04
131      1.6120E-06    1.0054E-03    5.0363E-05
132      1.8591E-06    7.6492E-03    1.6451E-04
133      4.2243E-06    8.0723E-03    1.5577E-04
134      8.0745E-06    4.8188E-03    3.2881E-05
135      1.2985E-05    2.1725E-03    5.9556E-05
136      2.8598E-06    2.2497E-03    3.8167E-05
137      6.3805E-06    2.0524E-03    1.9583E-04
138      1.1026E-05    8.9840E-03    4.7138E-04
139      6.6570E-06    9.4354E-03    5.0882E-04
140      1.3709E-05    8.5520E-03    5.2984E-04
141      2.3083E-06    3.8619E-04    2.5694E-04
142      1.7859E-08    6.1453E-03    3.1830E-07
143      7.7501E-06    5.0262E-03    3.6574E-05
144      1.0510E-06    5.1202E-03    2.1995E-04
145      1.3614E-06    1.5469E-02    4.8399E-04
146      1.5999E-05    1.8905E-02    5.5617E-04
147      1.0825E-05    8.6005E-03    1.9432E-04
148      1.3781E-05    1.9315E-03    1.1028E-04
149      9.6885E-07    2.3065E-03    5.2838E-05
150      1.0597E-05    2.7170E-03    1.4753E-04
151      4.5069E-06    1.3957E-02    5.6276E-04
152      4.3680E-06    2.2806E-02    9.2267E-04
153      2.9551E-05    1.9511E-02    9.0472E-04
154      2.4012E-05    1.3635E-03    2.8227E-04
155      3.2894E-06    1.2162E-02    1.1703E-05
156      1.4605E-05    1.3144E-02    8.1747E-06
157      3.6263E-06    1.3945E-02    8.6399E-05
158      5.8549E-07    1.1027E-02    1.1463E-04
159      1.1770E-05    5.7031E-03    8.7594E-05
160      9.7037E-06    2.4901E-03    1.6751E-04
161      3.0422E-06    7.1060E-03    4.1080E-06
162      1.9131E-06    1.6564E-02    1.8235E-04
163      9.1356E-06    1.9930E-02    1.8503E-04
164      5.9688E-06    1.5928E-02    4.2542E-05
165      1.7347E-06    1.3365E-02    1.8681E-04
166      2.2654E-06    1.2004E-02    2.6405E-04
167      9.1025E-07    9.9852E-03    3.5058E-04
168      1.0855E-06    6.9286E-03    4.5625E-04
169      1.9557E-05    7.5613E-03    4.2566E-04
170      1.0818E-05    1.7761E-02    4.1822E-05
171      1.2474E-05    1.7672E-02    1.7312E-05
172      4.7732E-06    1.2573E-02    3.3323E-05
173      3.1730E-06    4.1141E-03    1.6992E-04
174      2.8775E-06    2.5816E-03    2.7507E-04
175      6.7312E-06    5.1867E-04    1.5616E-04
176      3.0218E-06    3.2137E-03    2.1679E-05
177      2.3743E-06    5.2250E-03    6.8524E-05
178      1.6748E-06    7.0119E-03    2.0310E-04
179      1.7144E-06    2.9802E-03    1.7965E-04
180      1.6418E-05    2.7168E-03    9.4401E-05
-----------------------------------------------
        Converged at the time 1.80 a.u.        
-----------------------------------------------
Warmup stage ended according to set thresholds:
    Rel. DE         Rel. DP        Rel. DT     
    5.0E-05         5.0E-03        1.0E-04     
-----------------------------------------------
Averaged values after this time:
System energy      E_tot :             -13.5656
System pressure    P     :               0.0516
System temperature T     :           4.6970E-01
